0;1;2;3;4;5;6;7;8;9;10;Date
;     RR Data;            ;FFT spectrum;            ; AR Spectrum;            ;            ;            ;            ;;
;        Time; RR interval;   Frequency;         PSD;   Frequency;         PSD;   VLF comp.;    LF comp.;    HF comp.;;
;         (s);         (s);        (Hz);(ms^2/Hz);        (Hz);(ms^2/Hz);(ms^2/Hz);(ms^2/Hz);(ms^2/Hz);;
;0.976;0.976;0.000;0.3730;0.000;5115.9497;            ;            ;            ;;2024-10-28
;2.307;1.331;0.003;0.6392;0.003;10251.4397;            ;            ;            ;;2024-10-28
;3.472;1.165;0.007;0.4548;0.007;10310.3423;            ;            ;            ;;2024-10-28
;4.647;1.175;0.010;33.8769;0.010;10409.4606;            ;            ;            ;;2024-10-28
;5.790;1.143;0.013;236.7866;0.013;10550.2446;            ;            ;            ;;2024-10-28
;7.106;1.316;0.017;635.5990;0.017;10734.7849;            ;            ;            ;;2024-10-28
;8.176;1.070;0.020;655.8226;0.020;10965.8763;            ;            ;            ;;2024-10-28
;9.026;0.850;0.023;109.6945;0.023;11247.1056;            ;            ;            ;;2024-10-28
;9.790;0.764;0.027;1909.0301;0.027;11582.9674;            ;            ;            ;;2024-10-28
;11.120;1.330;0.030;10818.7346;0.030;11979.0147;            ;            ;            ;;2024-10-28
;12.167;1.047;0.033;26199.3084;0.033;12442.0531;            ;            ;            ;;2024-10-28
;13.506;1.339;0.037;39597.1719;0.037;12980.3896;            ;            ;            ;;2024-10-28
;14.666;1.160;0.040;43045.5331;0.040;13604.1522;            ;            ;            ;;2024-10-28
;15.820;1.154;0.043;35554.9151;0.043;14325.7014;            ;            ;            ;;2024-10-28
;16.573;0.753;0.047;20722.6207;0.047;15160.1630;            ;            ;            ;;2024-10-28
;17.283;0.710;0.050;5404.6345;0.050;16126.1210;            ;            ;            ;;2024-10-28
;18.050;0.767;0.053;346.7365;0.053;17246.5276;            ;            ;            ;;2024-10-28
;19.428;1.378;0.057;12073.8550;0.057;18549.9062;            ;            ;            ;;2024-10-28
;20.655;1.227;0.060;32713.9202;0.060;20071.9583;            ;            ;            ;;2024-10-28
;21.708;1.053;0.063;45983.2801;0.063;21857.7297;            ;            ;            ;;2024-10-28
;23.001;1.293;0.067;44150.8330;0.067;23964.5650;            ;            ;            ;;2024-10-28
;23.897;0.896;0.070;32664.5683;0.070;26466.1787;            ;            ;            ;;2024-10-28
;24.638;0.741;0.073;19742.4856;0.073;29458.3372;            ;            ;            ;;2024-10-28
;25.369;0.731;0.077;9217.8540;0.077;33066.8821;            ;            ;            ;;2024-10-28
;26.748;1.379;0.080;2228.0952;0.080;37459.2012;            ;            ;            ;;2024-10-28
;27.982;1.234;0.083;506.7546;0.083;42860.8247;            ;            ;            ;;2024-10-28
;29.172;1.190;0.087;9457.3532;0.087;49579.6891;            ;            ;            ;;2024-10-28
;30.308;1.136;0.090;35634.9673;0.090;58041.8817;            ;            ;            ;;2024-10-28
;31.324;1.016;0.093;73301.8773;0.093;68844.3848;            ;            ;            ;;2024-10-28
;32.239;0.915;0.097;98281.7766;0.097;82832.0946;            ;            ;            ;;2024-10-28
;33.135;0.896;0.100;93567.4605;0.100;101206.2613;            ;            ;            ;;2024-10-28
;34.005;0.870;0.103;83727.2129;0.103;125662.4803;            ;            ;            ;;2024-10-28
;34.525;0.520;0.107;103689.4989;0.107;158516.4024;            ;            ;            ;;2024-10-28
;35.897;1.372;0.110;117415.8285;0.110;202643.4481;            ;            ;            ;;2024-10-28
;37.120;1.223;0.113;71516.4660;0.113;260704.8813;            ;            ;            ;;2024-10-28
;38.369;1.249;0.117;79836.8261;0.117;332478.5580;            ;            ;            ;;2024-10-28
;39.421;1.052;0.120;343410.2818;0.120;409130.4908;            ;            ;            ;;2024-10-28
;40.330;0.909;0.123;767951.8470;0.123;468122.9108;            ;            ;            ;;2024-10-28
;41.192;0.862;0.127;953061.5305;0.127;482590.9910;            ;            ;            ;;2024-10-28
;42.088;0.896;0.130;720047.4539;0.130;446773.8870;            ;            ;            ;;2024-10-28
;43.116;1.028;0.133;336944.2300;0.133;381877.6841;            ;            ;            ;;2024-10-28
;44.079;0.963;0.137;105316.1422;0.137;312944.0851;            ;            ;            ;;2024-10-28
;45.102;1.023;0.140;42305.5264;0.140;253211.2450;            ;            ;            ;;2024-10-28
;46.072;0.970;0.143;36546.8547;0.143;205794.3697;            ;            ;            ;;2024-10-28
;47.043;0.971;0.147;40128.2582;0.147;169396.5842;            ;            ;            ;;2024-10-28
;47.961;0.918;0.150;47487.0914;0.150;141669.6095;            ;            ;            ;;2024-10-28
;48.784;0.823;0.153;45343.4851;0.153;120454.4140;            ;            ;            ;;2024-10-28
;49.597;0.813;0.157;27371.7336;0.157;104066.4931;            ;            ;            ;;2024-10-28
;50.424;0.827;0.160;8415.0643;0.160;91265.9369;            ;            ;            ;;2024-10-28
;51.532;1.108;0.163;5291.6260;0.163;81157.5527;            ;            ;            ;;2024-10-28
;52.574;1.042;0.167;11051.1915;0.167;73096.5033;            ;            ;            ;;2024-10-28
;53.637;1.063;0.170;7203.7215;0.170;66615.7105;            ;            ;            ;;2024-10-28
;54.606;0.969;0.173;89.1603;0.173;61373.8214;            ;            ;            ;;2024-10-28
;55.477;0.871;0.177;14095.1578;0.177;57118.8746;            ;            ;            ;;2024-10-28
;56.334;0.857;0.180;46792.9255;0.180;53663.1074;            ;            ;            ;;2024-10-28
;57.165;0.831;0.183;64136.7351;0.183;50865.4547;            ;            ;            ;;2024-10-28
;58.450;1.285;0.187;48131.1390;0.187;48619.3137;            ;            ;            ;;2024-10-28
;59.605;1.155;0.190;23689.8355;0.190;46843.9249;            ;            ;            ;;2024-10-28
;60.690;1.085;0.193;24258.9863;0.193;45478.2518;            ;            ;            ;;2024-10-28
;61.628;0.938;0.197;45994.4370;0.197;44476.6080;            ;            ;            ;;2024-10-28
;62.520;0.892;0.200;55104.8077;0.200;43805.5200;            ;            ;            ;;2024-10-28
;63.372;0.852;0.203;35658.4610;0.203;43441.4749;            ;            ;            ;;2024-10-28
;64.171;0.799;0.207;8864.7928;0.207;43369.3114;            ;            ;            ;;2024-10-28
;64.959;0.788;0.210;71.4371;0.210;43581.0805;            ;            ;            ;;2024-10-28
;65.741;0.782;0.213;5319.9048;0.213;44075.2474;            ;            ;            ;;2024-10-28
;67.109;1.368;0.217;5942.6680;0.217;44856.1333;            ;            ;            ;;2024-10-28
;68.144;1.035;0.220;2914.6122;0.220;45933.5049;            ;            ;            ;;2024-10-28
;69.195;1.051;0.223;9161.7038;0.223;47322.2119;            ;            ;            ;;2024-10-28
